open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
5150.0,5175.0,5100.0,5175.0,21746100.0,,,5175.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-12-09T00:00:00+0000
5150.0,5175.0,5050.0,5100.0,31226300.0,,,5100.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-12-06T00:00:00+0000
5225.0,5225.0,5125.0,5175.0,19283000.0,,,5175.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-12-05T00:00:00+0000
5100.0,5200.0,5075.0,5200.0,36481300.0,,,5200.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-12-04T00:00:00+0000
4980.0,5125.0,4970.0,5075.0,32187100.0,,,5075.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-12-03T00:00:00+0000
5100.0,5150.0,4900.0,4900.0,38385500.0,,,4900.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-12-02T00:00:00+0000
5125.0,5125.0,5025.0,5100.0,36683400.0,,,5100.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-29T00:00:00+0000
5200.0,5225.0,5125.0,5150.0,26311000.0,,,5150.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-28T00:00:00+0000
5150.0,5200.0,5100.0,5150.0,45059300.0,,,5150.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-26T00:00:00+0000
4950.0,5125.0,4940.0,5100.0,48335200.0,,,5100.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-25T00:00:00+0000
4900.0,4960.0,4860.0,4910.0,20995500.0,,,4910.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-22T00:00:00+0000
4990.0,4990.0,4910.0,4920.0,18506600.0,,,4920.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-21T00:00:00+0000
4970.0,5025.0,4950.0,4990.0,14506900.0,,,4990.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-20T00:00:00+0000
4930.0,4970.0,4900.0,4900.0,29585400.0,,,4900.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-19T00:00:00+0000
4950.0,4970.0,4910.0,4910.0,13776000.0,,,4910.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-18T00:00:00+0000
4940.0,4960.0,4920.0,4960.0,12772200.0,,,4960.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-15T00:00:00+0000
5025.0,5025.0,4930.0,4950.0,37808300.0,,,4950.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-14T00:00:00+0000
5000.0,5025.0,4950.0,5025.0,24437300.0,,,5025.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-13T00:00:00+0000
5000.0,5000.0,4930.0,4970.0,43095600.0,,,4970.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-12T00:00:00+0000
4960.0,4990.0,4850.0,4950.0,47743300.0,,,4950.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-11T00:00:00+0000
5050.0,5075.0,4950.0,4960.0,27641100.0,,,4960.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-08T00:00:00+0000
5050.0,5075.0,5000.0,5000.0,45890000.0,,,5000.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-07T00:00:00+0000
5175.0,5175.0,5025.0,5050.0,32967500.0,,,5050.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-06T00:00:00+0000
5125.0,5200.0,5075.0,5175.0,30926200.0,,,5175.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-05T00:00:00+0000
5075.0,5100.0,4980.0,5075.0,44115700.0,,,5075.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-04T00:00:00+0000
5125.0,5175.0,5050.0,5100.0,41118300.0,,,5100.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-11-01T00:00:00+0000
5300.0,5300.0,5100.0,5125.0,55186100.0,,,5125.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-31T00:00:00+0000
5125.0,5175.0,5050.0,5175.0,25732000.0,,,5175.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-30T00:00:00+0000
5250.0,5250.0,5125.0,5125.0,36151500.0,,,5125.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-29T00:00:00+0000
5275.0,5275.0,5200.0,5225.0,22712200.0,,,5225.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-25T00:00:00+0000
5300.0,5300.0,5200.0,5250.0,43155000.0,,,5250.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-24T00:00:00+0000
5275.0,5300.0,5175.0,5300.0,57397400.0,,,5300.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-23T00:00:00+0000
5125.0,5275.0,5100.0,5275.0,120107600.0,,,5275.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-22T00:00:00+0000
4950.0,5100.0,4930.0,5100.0,88954300.0,,,5100.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-21T00:00:00+0000
4960.0,4960.0,4920.0,4920.0,39805400.0,,,4920.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-18T00:00:00+0000
4950.0,4970.0,4930.0,4950.0,54164800.0,,,4950.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-17T00:00:00+0000
4930.0,4960.0,4900.0,4960.0,80530100.0,,,4960.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-16T00:00:00+0000
4930.0,4970.0,4900.0,4930.0,61263600.0,,,4930.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-15T00:00:00+0000
5025.0,5025.0,4920.0,4930.0,71369100.0,,,4930.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-14T00:00:00+0000
5100.0,5225.0,5075.0,5225.0,29612400.0,,,5225.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-08T00:00:00+0000
5150.0,5175.0,5075.0,5075.0,24302500.0,,,5075.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-07T00:00:00+0000
5250.0,5250.0,5100.0,5150.0,24283400.0,,,5150.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-04T00:00:00+0000
5175.0,5250.0,5100.0,5250.0,46300700.0,,,5250.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-03T00:00:00+0000
5150.0,5150.0,5050.0,5100.0,26473500.0,,,5100.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-02T00:00:00+0000
5100.0,5175.0,5075.0,5150.0,34309000.0,,,5150.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-10-01T00:00:00+0000
5100.0,5100.0,5000.0,5050.0,51311700.0,,,5050.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-09-30T00:00:00+0000
5275.0,5275.0,5050.0,5075.0,51068400.0,,,5075.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-09-27T00:00:00+0000
5250.0,5275.0,5175.0,5225.0,44620800.0,,,5225.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-09-26T00:00:00+0000
5300.0,5300.0,5150.0,5175.0,54615200.0,,,5175.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-09-25T00:00:00+0000
5250.0,5275.0,5225.0,5275.0,33607900.0,,,5275.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-09-24T00:00:00+0000
5250.0,5275.0,5225.0,5250.0,14092900.0,,,5250.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-09-23T00:00:00+0000
5275.0,5275.0,5200.0,5275.0,28521000.0,,,5275.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-09-20T00:00:00+0000
5275.0,5275.0,5200.0,5275.0,46923700.0,,,5275.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-09-19T00:00:00+0000
5100.0,5275.0,5075.0,5225.0,114879100.0,,,5225.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-09-18T00:00:00+0000
5075.0,5100.0,5025.0,5075.0,30645700.0,,,5075.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-09-17T00:00:00+0000
5025.0,5075.0,5025.0,5075.0,24921900.0,,,5075.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-09-13T00:00:00+0000
5025.0,5075.0,5025.0,5025.0,15979800.0,,,5025.0,,,1.0,0.0,ASII.XIDX,XIDX,2024-09-12T00:00:00+0000
