open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
2310.0,2700.0,2310.0,2680.0,506470200.0,,,2680.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-12-09T00:00:00+0000
2340.0,2340.0,2300.0,2300.0,152147300.0,,,2300.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-12-06T00:00:00+0000
2390.0,2420.0,2300.0,2340.0,178927400.0,,,2340.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-12-05T00:00:00+0000
2370.0,2380.0,2300.0,2350.0,116509900.0,,,2350.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-12-04T00:00:00+0000
2330.0,2430.0,2280.0,2360.0,242992300.0,,,2360.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-12-03T00:00:00+0000
2090.0,2380.0,2090.0,2310.0,516513300.0,,,2310.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-12-02T00:00:00+0000
2070.0,2210.0,2070.0,2080.0,1041102400.0,,,2080.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-29T00:00:00+0000
2760.0,2760.0,2760.0,2760.0,20042100.0,,,2760.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-28T00:00:00+0000
3780.0,3820.0,3670.0,3670.0,283961800.0,,,3670.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-26T00:00:00+0000
3760.0,3810.0,3730.0,3770.0,191774500.0,,,3770.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-25T00:00:00+0000
3680.0,3750.0,3640.0,3750.0,153761400.0,,,3750.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-22T00:00:00+0000
3700.0,3710.0,3660.0,3680.0,79265200.0,,,3680.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-21T00:00:00+0000
3710.0,3750.0,3660.0,3690.0,79243600.0,,,3690.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-20T00:00:00+0000
3720.0,3800.0,3670.0,3710.0,106177100.0,,,3710.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-19T00:00:00+0000
3920.0,3920.0,3670.0,3700.0,266250800.0,,,3700.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-18T00:00:00+0000
3830.0,3940.0,3790.0,3920.0,82254000.0,,,3920.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-15T00:00:00+0000
3940.0,3950.0,3830.0,3830.0,84727300.0,,,3830.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-14T00:00:00+0000
3950.0,4010.0,3870.0,3920.0,144689200.0,,,3920.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-13T00:00:00+0000
3800.0,3900.0,3790.0,3820.0,85562300.0,,,3820.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-12T00:00:00+0000
3830.0,3860.0,3730.0,3740.0,98619100.0,,,3740.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-11T00:00:00+0000
3920.0,3920.0,3810.0,3830.0,90195500.0,,,3830.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-08T00:00:00+0000
3990.0,4000.0,3890.0,3920.0,96971400.0,,,3920.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-07T00:00:00+0000
4060.0,4110.0,3980.0,4010.0,113009100.0,,,4010.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-06T00:00:00+0000
4060.0,4300.0,4010.0,4040.0,438542700.0,,,4040.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-05T00:00:00+0000
3840.0,3940.0,3840.0,3920.0,128245900.0,,,3920.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-04T00:00:00+0000
3620.0,3830.0,3620.0,3760.0,137577600.0,,,3760.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-11-01T00:00:00+0000
3630.0,3670.0,3580.0,3630.0,32839900.0,,,3630.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-30T00:00:00+0000
3700.0,3700.0,3620.0,3630.0,18542900.0,,,3630.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-29T00:00:00+0000
3690.0,3730.0,3650.0,3650.0,37724800.0,,,3650.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-28T00:00:00+0000
3700.0,3710.0,3590.0,3640.0,75609600.0,,,3640.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-25T00:00:00+0000
3730.0,3740.0,3680.0,3690.0,44085400.0,,,3690.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-23T00:00:00+0000
3740.0,3770.0,3700.0,3730.0,49858700.0,,,3730.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-22T00:00:00+0000
3790.0,3800.0,3700.0,3740.0,66351300.0,,,3740.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-21T00:00:00+0000
3900.0,3910.0,3730.0,3780.0,87840500.0,,,3780.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-18T00:00:00+0000
3860.0,3910.0,3830.0,3900.0,41353900.0,,,3900.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-17T00:00:00+0000
3870.0,3900.0,3830.0,3850.0,105978300.0,,,3850.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-16T00:00:00+0000
3870.0,3910.0,3860.0,3890.0,40044700.0,,,3890.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-14T00:00:00+0000
3870.0,3890.0,3850.0,3870.0,24890400.0,,,3870.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-11T00:00:00+0000
3830.0,3870.0,3820.0,3840.0,42956900.0,,,3840.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-10T00:00:00+0000
3900.0,3900.0,3800.0,3820.0,60757000.0,,,3820.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-08T00:00:00+0000
3890.0,3930.0,3840.0,3890.0,78079600.0,,,3890.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-07T00:00:00+0000
3850.0,3890.0,3810.0,3810.0,42151700.0,,,3810.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-04T00:00:00+0000
3860.0,3870.0,3830.0,3830.0,28298100.0,,,3830.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-03T00:00:00+0000
3900.0,3900.0,3830.0,3860.0,45591700.0,,,3860.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-02T00:00:00+0000
3830.0,3930.0,3710.0,3930.0,127973600.0,,,3930.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-10-01T00:00:00+0000
3910.0,3930.0,3810.0,3830.0,63557600.0,,,3830.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-09-30T00:00:00+0000
3780.0,3940.0,3740.0,3910.0,115577800.0,,,3910.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-09-27T00:00:00+0000
3720.0,3760.0,3700.0,3750.0,66477100.0,,,3750.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-09-26T00:00:00+0000
3760.0,3760.0,3680.0,3710.0,59063800.0,,,3710.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-09-25T00:00:00+0000
3730.0,3760.0,3690.0,3710.0,101921300.0,,,3710.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-09-24T00:00:00+0000
3720.0,3740.0,3690.0,3700.0,61940400.0,,,3700.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-09-23T00:00:00+0000
3670.0,3740.0,3640.0,3720.0,132351400.0,,,3720.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-09-20T00:00:00+0000
3660.0,3700.0,3580.0,3640.0,119150600.0,,,3640.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-09-19T00:00:00+0000
3760.0,3780.0,3640.0,3650.0,96353400.0,,,3650.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-09-18T00:00:00+0000
3670.0,3780.0,3570.0,3760.0,130385600.0,,,3760.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-09-17T00:00:00+0000
3840.0,3840.0,3660.0,3670.0,208787000.0,,,3670.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-09-13T00:00:00+0000
3920.0,4050.0,3800.0,3850.0,507713500.0,,,3850.0,,,1.0,0.0,ADRO.XIDX,XIDX,2024-09-12T00:00:00+0000
