open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
3040.0,3040.0,2950.0,2970.0,12990400.0,,,2970.0,,,1.0,0.0,AMRT.XIDX,XIDX,2024-12-09T00:00:00+0000
3000.0,3170.0,2940.0,3040.0,26036600.0,,,3040.0,,,1.0,0.0,AMRT.XIDX,XIDX,2024-12-06T00:00:00+0000
3040.0,3050.0,2940.0,2970.0,10405500.0,,,2970.0,,,1.0,0.0,AMRT.XIDX,XIDX,2024-12-05T00:00:00+0000
2910.0,3030.0,2900.0,3000.0,29137700.0,,,3000.0,,,1.0,0.0,AMRT.XIDX,XIDX,2024-12-04T00:00:00+0000
2940.0,2940.0,2860.0,2900.0,26003900.0,,,2900.0,,,1.0,0.0,AMRT.XIDX,XIDX,2024-12-03T00:00:00+0000
2860.0,2900.0,2850.0,2860.0,13004300.0,,,2860.0,,,1.0,0.0,AMRT.XIDX,XIDX,2024-12-02T00:00:00+0000
2870.0,2900.0,2830.0,2850.0,24437700.0,,,2850.0,,,1.0,0.0,AMRT.XIDX,XIDX,2024-11-29T00:00:00+0000
2900.0,2900.0,2820.0,2860.0,28887100.0,,,2860.0,,,1.0,0.0,AMRT.XIDX,XIDX,2024-11-28T00:00:00+0000
2950.0,2960.0,2870.0,2900.0,35652600.0,,,2900.0,,,1.0,0.0,AMRT.XIDX,XIDX,2024-11-26T00:00:00+0000
2930.0,3020.0,2920.0,2940.0,23662700.0,,,2940.0,,,1.0,0.0,AMRT.XIDX,XIDX,2024-11-25T00:00:00+0000
2920.0,2960.0,2880.0,2900.0,14972200.0,,,2900.0,,,1.0,0.0,AMRT.XIDX,XIDX,2024-11-22T00:00:00+0000
2890.0,3000.0,2820.0,2920.0,31789800.0,,,2920.0,,,1.0,0.0,AMRT.XIDX,XIDX,2024-11-21T00:00:00+0000
2960.0,2970.0,2880.0,2920.0,14068500.0,,,2920.0,,,1.0,0.0,AMRT.XIDX,XIDX,2024-11-20T00:00:00+0000
2920.0,3000.0,2890.0,2970.0,15630900.0,,,2970.0,,,1.0,0.0,AMRT.XIDX,XIDX,2024-11-19T00:00:00+0000
2880.0,2920.0,2810.0,2920.0,13636500.0,,,2920.0,,,1.0,0.0,AMRT.XIDX,XIDX,2024-11-18T00:00:00+0000
